frame_num;sec;nsec;yaw;pitch;roll;north_c;east_c;down_c;north;east;down;vx;vy;vz;gimbal_roll;gimbal_pitch;gps_time_week
122;1664534702;877219200;0.22601;-0.192835;-0.013668;208.016;-686.233;170.867;188.503;-674.922;6.20483;1.07623;0.570316;2.75463;0.023;-0.093;0
123;1664534702;977183752;0.201194;-0.185219;-0.0182608;208.016;-686.233;170.867;188.648;-674.846;6.49634;1.28218;0.620411;2.83263;-0.064;0.333;0
124;1664534703;77198552;0.178096;-0.173319;-0.0192079;208.016;-686.232;170.867;188.806;-674.769;6.8002;1.45266;0.658428;2.88207;-0.212;0.293;0
125;1664534703;177154937;0.155522;-0.163487;-0.0225727;208.016;-686.232;170.867;188.996;-674.674;7.11032;1.60988;0.674426;2.90748;-0.256;0.221;0
126;1664534703;277180779;0.13821;-0.155952;-0.0296602;208.016;-686.233;170.867;189.188;-674.585;7.41895;1.74871;0.693818;2.87006;-0.269;0.241;0
127;1664534703;377112273;0.123835;-0.145226;-0.0336102;208.016;-686.233;170.867;189.4;-674.483;7.72159;1.86468;0.703377;2.84145;-0.309;0.364;0
128;1664534703;477117064;0.113181;-0.135564;-0.0358994;208.017;-686.233;170.867;189.614;-674.389;8.01793;1.97307;0.709791;2.79535;-0.239;0.236;0
129;1664534703;577067978;0.10434;-0.134663;-0.0354708;208.017;-686.233;170.867;189.841;-674.286;8.30458;2.07813;0.709431;2.76875;-0.082;0.121;0
130;1664534703;677064450;0.0961076;-0.141569;-0.0360798;208.016;-686.233;170.867;190.071;-674.193;8.57343;2.1682;0.708864;2.70244;0.188;0.032;0
131;1664534703;777037888;0.0840317;-0.147747;-0.0394251;208.016;-686.233;170.867;190.302;-674.096;8.83191;2.2686;0.708322;2.64547;0.229;-0.025;0
132;1664534703;877014460;0.0713688;-0.146166;-0.0405193;208.017;-686.233;170.867;190.542;-674.007;9.09297;2.36923;0.70472;2.59709;0.026;0.19;0
133;1664534703;976985658;0.0621139;-0.14038;-0.0430246;208.017;-686.233;170.867;190.789;-673.915;9.34131;2.45561;0.694937;2.51585;-0.059;0.21;0
134;1664534704;76987114;0.0531817;-0.133646;-0.0468289;208.017;-686.234;170.867;191.049;-673.829;9.5735;2.54573;0.679129;2.46581;-0.2;0.158;0
135;1664534704;176945741;0.0470163;-0.126505;-0.0467975;208.017;-686.234;170.867;191.313;-673.744;9.80426;2.61422;0.663275;2.42854;-0.308;0.097;0
136;1664534704;276894865;0.0408748;-0.122167;-0.0452816;208.016;-686.233;170.867;191.588;-673.664;10.0465;2.68348;0.652771;2.41923;-0.241;0.167;0
137;1664534704;376899241;0.0323609;-0.115139;-0.0492381;208.016;-686.233;170.867;191.87;-673.582;10.2871;2.75519;0.628112;2.41277;-0.315;0.177;0
138;1664534704;477143084;0.0186103;-0.107029;-0.0490873;208.018;-686.232;170.867;192.161;-673.505;10.526;2.81733;0.593708;2.45873;-0.321;0.02;0
139;1664534704;576873152;0.00198078;-0.100804;-0.0491788;208.018;-686.232;170.866;192.461;-673.429;10.7746;2.87256;0.566746;2.51226;-0.251;0.029;0
140;1664534704;676916944;-0.0189184;-0.0992786;-0.0492076;208.014;-686.233;170.866;192.767;-673.359;11.0362;2.92159;0.547;2.5634;-0.257;0.394;0
141;1664534704;776800386;-0.0736709;-0.0897141;-0.0473836;208.014;-686.233;170.867;193.085;-673.29;11.319;2.98561;0.505145;2.7995;-0.431;0.101;0
142;1664534704;876823094;-0.148161;-0.0879078;-0.0427677;208.014;-686.233;170.867;193.405;-673.229;11.6311;3.01898;0.489395;2.94801;-0.26;0.003;0
143;1664534704;976765276;-0.232569;-0.0974609;-0.0446777;208.017;-686.234;170.867;193.738;-673.17;11.9599;3.0848;0.434297;3.10162;-0.049;-0.013;0
144;1664534705;76748377;-0.320721;-0.107898;-0.0485503;208.017;-686.234;170.867;194.071;-673.12;12.3092;3.12986;0.369175;3.25251;0.128;-0.079;0
145;1664534705;176706054;-0.411529;-0.117621;-0.0595072;208.016;-686.234;170.866;194.422;-673.076;12.6756;3.1937;0.300522;3.35077;0.218;0.141;0
146;1664534705;276705322;-0.501754;-0.127405;-0.0711781;208.016;-686.234;170.866;194.772;-673.043;13.0558;3.23744;0.199092;3.38217;0.299;0.296;0
147;1664534705;376664151;-0.588808;-0.134574;-0.0794029;208.016;-686.234;170.866;195.135;-673.022;13.4328;3.29331;0.0864508;3.46074;0.282;0.375;0
148;1664534705;476640801;-0.678145;-0.139221;-0.0894006;208.017;-686.233;170.866;195.493;-673.017;13.8066;3.33206;-0.044377;3.51902;0.213;0.427;0
149;1664534705;576662400;-0.772675;-0.141803;-0.0988085;208.016;-686.232;170.866;195.868;-673.026;14.1794;3.34837;-0.175929;3.55458;0.175;0.422;0
150;1664534705;676583509;-0.874664;-0.147715;-0.109447;208.016;-686.232;170.866;196.234;-673.05;14.544;3.34463;-0.330422;3.66451;0.178;0.313;0
151;1664534705;776582650;-0.981761;-0.153884;-0.118027;208.015;-686.234;170.866;196.612;-673.097;14.9169;3.3232;-0.513195;3.75808;0.236;0.361;0
152;1664534705;876556931;-1.08984;-0.162474;-0.120912;208.015;-686.234;170.866;196.974;-673.162;15.2914;3.2769;-0.696098;3.79312;0.275;0.292;0
153;1664534705;976513265;-1.19357;-0.173635;-0.120821;208.017;-686.233;170.866;197.338;-673.255;15.6664;3.23135;-0.878872;3.8123;0.339;0.281;0
154;1664534706;76513468;-1.29505;-0.178455;-0.125026;208.017;-686.233;170.866;197.684;-673.364;16.0425;3.14809;-1.0665;3.81101;0.242;0.194;0
155;1664534706;176498072;-1.38189;-0.175277;-0.127082;208.017;-686.233;170.867;198.028;-673.506;16.4159;3.04709;-1.24621;3.78642;0.061;0.376;0
